y,x,street_count,highway,geometry
9.8849684,78.0556395,3,,POINT (78.0556395 9.8849684)
9.8850977,78.0560995,3,,POINT (78.0560995 9.8850977)
9.8850318,78.0563691,3,,POINT (78.0563691 9.8850318)
9.8848521,78.0566051,3,,POINT (78.0566051 9.8848521)
9.8833301,78.055897,3,,POINT (78.055897 9.8833301)
9.880508,78.0592015,3,,POINT (78.0592015 9.880508)
9.8801486,78.0591371,3,,POINT (78.0591371 9.8801486)
9.8795039,78.0590728,3,,POINT (78.0590728 9.8795039)
9.8799055,78.0571738,3,,POINT (78.0571738 9.8799055)
9.8807684,78.0585809,4,,POINT (78.0585809 9.8807684)
9.8838559,78.0589521,4,,POINT (78.0589521 9.8838559)
9.8853891,78.0591295,3,,POINT (78.0591295 9.8853891)
9.885864,78.0561907,3,,POINT (78.0561907 9.885864)
9.8845851,78.0529828,4,,POINT (78.0529828 9.8845851)
9.8822439,78.0526747,3,,POINT (78.0526747 9.8822439)
9.8809954,78.055842,3,,POINT (78.055842 9.8809954)
9.8862339,78.0531545,4,,POINT (78.0531545 9.8862339)
9.8819714,78.0540259,3,,POINT (78.0540259 9.8819714)
9.8832775,78.054319,4,,POINT (78.054319 9.8832775)
9.8841869,78.0567286,3,,POINT (78.0567286 9.8841869)
9.9218733,78.1157351,3,,POINT (78.1157351 9.9218733)
9.9206372,78.1190527,3,,POINT (78.1190527 9.9206372)
9.9208978,78.1161831,3,,POINT (78.1161831 9.9208978)
9.9216591,78.1187918,3,,POINT (78.1187918 9.9216591)
9.9329262,78.1179499,4,,POINT (78.1179499 9.9329262)
9.940244,78.1185585,3,,POINT (78.1185585 9.940244)
9.9410118,78.1186397,3,,POINT (78.1186397 9.9410118)
9.9378848,78.1186154,3,,POINT (78.1186154 9.9378848)
9.9344012,78.1182708,3,,POINT (78.1182708 9.9344012)
9.9345573,78.1400093,3,,POINT (78.1400093 9.9345573)
9.9377675,78.1319797,3,,POINT (78.1319797 9.9377675)
9.9346638,78.1183312,3,,POINT (78.1183312 9.9346638)
9.9440587,78.12002,3,,POINT (78.12002 9.9440587)
9.9219701,78.1040529,3,,POINT (78.1040529 9.9219701)
9.9210859,78.1039224,4,,POINT (78.1039224 9.9210859)
9.9207428,78.1038928,3,,POINT (78.1038928 9.9207428)
